sampling_period,patch,date,time,treatment,divers,observer,transect,heading,quadrat,shoot_count,distance_patch,above_ground,below_ground,shoot_bag_num,percent_total_n,percent_total_c,total_grunt_nh4_rate,mean_sand_depth,sd_sand_depth,original_cuke_density,final_cuke_density,true_seagrass_area,total_reef_area,log_original_cuke_density,log_final_cuke_density,prop_dd,lat,lon,total_cuke_excretion,patch_size,grunt_pee_m2,cuke_pee_m2,log_grunt_pee_m2,log_cuke_pee_m2,scale_log_og_cukes,scale_log_cukes_final,scale_log_grunt_pee_m2,scale_log_cuke_pee_m2,scale_distance,scale_sand,scale_seagrass_area,scale_reef_area,scale_patch_size,cont_treatment,scale_cont_treatment,mean_blade_height,sd_blade_height,n_blade_height,se_blade_height
0,New2,2019-05-21,13:30:00,natural,"RM, HW",RM,1,90,1,66,0.1,0.856,2.229,28,0.01734,0.37362,4154.746157676017,16.75,8.301606270274847,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,-1.0272476357665472,0.06084378415178575,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,14.200000000000001,5.815066637623339,5,2.600576859083384
0,New2,2019-05-21,13:30:00,natural,"RM, HW",HW,1,90,2,104,2.3,0.693,1.543,30,0.016040000000000002,0.36252,4154.746157676017,15.75,2.9860788111948193,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,0.2558475817279114,-0.07801442262406905,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,10.2,2.063976744055029,5,0.9230384607371459
0,New2,2019-05-21,13:30:00,natural,"RM, HW",RM,1,90,3,39,4,0.562,2.181,24,0.01727,0.37359000000000003,4154.746157676017,16.875,1.796988221070652,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,1.2473302497918115,0.0782010599987676,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,8.06,2.190433747000808,5,0.9795917517006765
0,New2,2019-05-21,13:30:00,natural,"RM, HW",RM,2,0,1,105,0.4,0.551,3.703,23,0.01734,0.37362,4154.746157676017,16.75,8.301606270274847,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,-0.8522801061082119,0.06084378415178575,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,8.56,1.0163660757817528,5,0.45453272709454035
0,New2,2019-05-21,13:30:00,natural,"RM, HW",HW,2,0,2,96,5.4,0.377,0.829,21,0.016040000000000002,0.36252,4154.746157676017,15.75,2.9860788111948193,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,2.0638453881973766,-0.07801442262406905,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,NA,NA,5,NA
0,New2,2019-05-21,13:30:00,natural,"RM, HW",RM,2,0,3,56,6.4,0.379,0.656,19,0.01727,0.37359000000000003,4154.746157676017,16.875,1.796988221070652,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,2.6470704870584942,0.0782010599987676,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,8.84,0.7092249290598855,5,0.317175030543074
0,New2,2019-05-21,13:30:00,natural,"RM, HW",RM,3,180,1,177,0.3,1.597,3.482,18,0.01734,0.37362,4154.746157676017,16.75,8.301606270274847,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,-0.9106026159943238,0.06084378415178575,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,13.98,2.2331591971912803,5,0.998699153899712
0,New2,2019-05-21,13:30:00,natural,"RM, HW",HW,3,180,2,78,3.7,0.854,0.919,16,0.016040000000000002,0.36252,4154.746157676017,15.75,2.9860788111948193,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,1.0723627201334762,-0.07801442262406905,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,10.9,1.2469963913339925,5,0.5576737397439474
0,New2,2019-05-21,13:30:00,natural,"RM, HW",HW,3,180,3,57,5.6,0.678,1.362,14,0.01727,0.37359000000000003,4154.746157676017,16.875,1.796988221070652,0.11874081951388352,0.11874081951388352,84.21703708075529,53.82779330310992,-2.130812148412679,-2.069476798939363,0.1,24.820817,-76.263267,123.6,138.04483038386522,49.3337963634609,1.4676365291916003,3.910246535708995,0.44325443140878557,-0.6388377735840192,0.17494698717786947,0.14787863613445745,0.14364373750189474,2.1804904079695997,0.0782010599987676,0.7154292984625401,0.45439133297350226,0.6539750184610497,0,1.2236643728386054,10,1.6941074346097416,5,0.7576278769950324
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",HW,1,90,1,123,0,0.199,0.765,T1Q1,0.01856,0.37465000000000004,1893.169847285691,9.5,1.9148542155126762,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,-1.0855701456526592,-0.9458782149731615,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,6.28,1.7441330224498361,5,0.78
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,1,90,2,117,1.2,0.053,2.077,T1Q2,0.01831,0.37091,1893.169847285691,7.75,0.9574271077563381,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,-0.38570002701931794,-1.1888800768309074,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,5.64,0.6767569726275452,5,0.3026549190084311
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,1,90,3,18,2.5,0.023,0.301,T1Q3,0.01766,0.37122999999999995,1893.169847285691,5.75,1.707825127659933,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,0.372492601500135,-1.466596490382617,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,3.6,0.8,5,0.35777087639996635
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,2,0,1,100,0.5,0.461,0.957,T2Q1,0.01856,0.37465000000000004,1893.169847285691,9.5,1.9148542155126762,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,-0.7939575962221003,-0.9458782149731615,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,11.96,3.0344686520048283,5,1.35705563629499
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",HW,2,0,2,135,1.2,0.443,0.939,M1,0.01831,0.37091,1893.169847285691,7.75,0.9574271077563381,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,-0.38570002701931794,-1.1888800768309074,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,7.7,1.2308533625091174,5,0.5504543577809154
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",RM,2,0,3,31,2.7,0.107,1.119,T2Q3,0.01766,0.37122999999999995,1893.169847285691,5.75,1.707825127659933,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,0.48913762127235866,-1.466596490382617,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,6.26,2.1267345861672537,5,0.9511046209539726
0,Montreal,2019-05-22,10:30:00,zero,"RM, HW",HW,3,180,1,140,0.3,0.434,1.716,T3Q1,0.01856,0.37465000000000004,1893.169847285691,9.5,1.9148542155126762,0.6026210474790317,0,11.615923521561974,18.643410033784622,-0.5064667251178822,-4.891386666278263,0.5,24.820924,-76.263468,0,30.259333555346597,162.98057091814596,0,5.097167850413787,-2.4064789070070094,1.086779718243537,-1.680969312513574,0.7436952878005991,-1.701721049478948,-0.9106026159943238,-0.9458782149731615,-0.8327932240982457,-0.38162705307042877,-0.6842853287868008,-1,-1.2236643728386054,7.56,0.9396807968666806,5,0.4202380277890138
